프로그램명,채널명,월간,게시글,댓글,동영상조회(K),뉴스,동영상,총합
영혼수선공,KBS2,606015.0,2.963,15317.0,1612018.0,7279.0,431.0,27.070164799999997
오 마이 베이비,tvN,808022.0,7.188,30562.0,5829346.0,6228.0,733.0,44.7101226
오! 삼광빌라!,KBS2,1818457.0,29.256,81941.0,25327632.0,17707.0,2094.0,123.1500192
오! 주인님,MBC,606312.0,2.062,7727.0,993147.0,6873.0,565.0,20.351376700000003
오월의 청춘,KBS2,606315.0,7.392,39720.0,6750812.0,6504.0,386.0,50.7664732
오케이 광자매,KBS2,1616844.0,13.274,50103.0,30555426.0,14771.0,1675.0,84.69281660000001
외출,tvN,404009.0,0.487,1161.0,705701.0,873.0,81.0,2.9150571
"우리, 사랑했을까",JTBC,808030.0,6.517,34224.0,5312774.0,4813.0,509.0,44.664794400000005
월간 집,JTBC,808426.0,4.59,21228.0,5713502.0,4920.0,713.0,33.853940200000004
이벤트를 확인하세요,MBC,606324.0,0.482,2140.0,161509.0,856.0,180.0,4.8126329
인간실격,JTBC,606327.0,6.496,31693.0,2875048.0,5893.0,573.0,43.610000799999995
저녁 같이 드실래요,MBC,808022.0,4.336,22409.0,6126966.0,7770.0,958.0,40.376032599999995
제발 그 남자 만나지 마요,MBC every1,1010235.0,1.121,4613.0,486239.0,3874.0,373.0,12.2667449
조선구마사,SBS,202103.0,13.46,272929.0,6554836.0,6817.0,177.0,282.1849436
좀비탐정,KBS2,808038.0,2.762,10332.0,731121.0,5337.0,267.0,18.4148741
지리산,tvN,808442.0,21.781,103784.0,7444069.0,8123.0,838.0,121.05318790000001
철인왕후,tvN,1010327.0,71.273,413185.0,142594480.0,16874.0,1730.0,461.6897210000001
청춘기록,tvN,808038.0,69.063,360100.0,23178184.0,11265.0,902.0,382.77188140000004
출사표,KBS2,606021.0,2.641,16432.0,1209321.0,5601.0,486.0,27.0165731
카이로스,MBC,606033.0,14.616,47212.0,2060804.0,7974.0,630.0,61.7066964
크라임 퍼즐,SKY,606333.0,0.74,2107.0,1147338.0,1895.0,47.0,4.587473800000001
키마이라,OCN,606333.0,1.33,2332.0,232111.0,1960.0,533.0,9.6465411
타임즈,OCN,808407.0,1.565,6416.0,1423747.0,3280.0,621.0,16.0499397
태종 이방원,KBS1,404223.0,7.946,25835.0,842794.0,3263.0,198.0,31.170225400000003
트레인,OCN,606021.0,3.283,13874.0,420102.0,2959.0,583.0,22.7082932
트웬티 트웬티,JTBC,808038.0,7.202,71034.0,14886091.0,882.0,41.0,73.82181110000002
펜트하우스,SBS,1010235.0,180.517,846175.0,140451709.0,28411.0,1142.0,900.2316878999999
포레스트,KBS2,606006.0,2.754,17074.0,2784122.0,8173.0,477.0,30.2981662
"하이바이, 마마!",tvN,808010.0,40.967,195043.0,38130789.0,8094.0,809.0,215.0810459
하이클래스,tvN,808438.0,5.392,12618.0,14074780.0,5129.0,854.0,27.699869999999997
하자있는 인간들,MBC,202001.0,0.54,5685.0,607214.0,1486.0,311.0,10.3422614
하트가 빛나는 순간,EBS1,808442.0,0.146,16558.0,4491615.0,269.0,1.0,17.2863075
학교 2021,KBS2,606333.0,1.824,10730.0,884004.0,4645.0,327.0,18.7352244
학교기담,TV CHOSUN,202009.0,0.32,935.0,8783.0,173.0,35.0,1.4591983000000002
한 번 다녀왔습니다,KBS2,1414042.0,55.227,462933.0,79373446.0,22741.0,2019.0,513.8565716
한 사람만,JTBC,404223.0,0.636,2409.0,383090.0,2083.0,181.0,6.340945
행복의 진수,JTBC,202005.0,0.043,102.0,23481.0,80.0,48.0,0.6643911
홈타운,tvN,606327.0,1.932,4123.0,839898.0,2186.0,505.0,11.4449218
홍천기,SBS,606327.0,15.517,78781.0,19514897.0,9733.0,641.0,96.8910067
화양연화 - 삶이 꽃이 되는 순간,tvN,808018.0,4.368,27679.0,9229058.0,7172.0,682.0,42.598273799999994
