방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,총시청률
20200121,tvN,21,225009,블랙독,12회,미니시리즈,"['서현진', '라미란', '하준', '이창훈', '태인호', '이항나']",2.0125349999999997
20200122,KBS2,22,222945,99억의여자,29회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",3.129055
20200122,KBS2,22,230817,99억의여자,30회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",3.814272857142857
20200122,MBC,21,215959,더게임0시를향하여,2회,미니시리즈,"['옥택연', '이연희', '임주환', '정동환', '박지일', '박원상']",1.7686907142857144
20200122,tvN,22,241930,사랑의불시착,9회,미니시리즈,"['현빈', '손예진', '서지혜', '김정현', '전국환', '정애리']",1.0916885714285713
20200123,KBS2,22,223125,99억의여자,31회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",2.937325714285714
20200123,KBS2,22,230601,99억의여자,32회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",3.5641335714285716
20200123,MBC,21,220040,더게임0시를향하여,4회,미니시리즈,"['옥택연', '이연희', '임주환', '정동환', '박지일', '박원상']",1.7778957142857144
20200127,SBS,21,221257,낭만닥터김사부2,7회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",6.887628571428572
20200127,SBS,22,224906,낭만닥터김사부2,7회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",9.512322142857142
20200127,JTBC,21,223224,검사내전,11회,미니시리즈,"['이선균', '정려원', '이성재', '김광규', '이상희', '전성우']",1.1625150000000002
20200127,tvN,21,224625,블랙독,13회,미니시리즈,"['서현진', '라미란', '하준', '이창훈', '태인호', '이항나']",2.0430957142857147
20200128,SBS,21,221717,낭만닥터김사부2,8회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",8.288941428571428
20200128,SBS,22,225429,낭만닥터김사부2,8회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",10.323736428571431
20200128,JTBC,21,224053,검사내전,12회,미니시리즈,"['이선균', '정려원', '이성재', '김광규', '이상희', '전성우']",1.6406842857142858
20200128,tvN,21,224329,블랙독,14회,미니시리즈,"['서현진', '라미란', '하준', '이창훈', '태인호', '이항나']",1.6167242857142858
20200129,MBC,21,220027,더게임0시를향하여,6회,미니시리즈,"['옥택연', '이연희', '임주환', '정동환', '박지일', '박원상']",1.9941150000000003
20200130,MBC,21,220121,더게임0시를향하여,8회,미니시리즈,"['옥택연', '이연희', '임주환', '정동환', '박지일', '박원상']",2.6040071428571427
20200131,SBS,22,222128,스토브리그,12회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",6.9168835714285715
20200131,SBS,22,224002,스토브리그,12회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",7.990763571428571
20200131,SBS,22,230325,스토브리그,12회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",8.827580714285714
