,프로그램명,채널명,출연진내용,총시청률
80,어사와조이,tvN,"'옥택연', '김혜윤', '양희경'",1.512751517857143
81,런온,JTBC,"'임시완', '신세경', '수영'",1.5121144897959182
82,나빌레라,tvN,"'박인환', '송강', '나문희'",1.508946875
83,좀비탐정,KBS2,"'최진혁', '박주현', '권화운'",1.4864335416666667
84,내가가장예뻤을때,MBC,"'임수향', '지수', '하석진'",1.4479749330357143
85,나를사랑한스파이,MBC,"'문정혁', '유인나', '임주환'",1.4395802901785715
86,그놈이그놈이다,KBS2,"'황정음', '윤현민', '서지훈'",1.438875880952381
87,바람피면죽는다,KBS2,"'조여정', '고준', '김영대'",1.4348188392857142
88,홈타운,tvN,"'유재명', '한예리', '엄태구'",1.4234666071428572
89,도도솔솔라라솔,KBS2,"'고아라', '이재욱', '김주헌'",1.385906198156682
90,출사표,KBS2,"'나나', '박성훈', '유다인'",1.3070940178571429
91,하자있는인간들,MBC,"'오연서', '안재현', '김슬기'",1.2737275
92,카이로스,MBC,"'신성록', '이세영', '안보현'",1.2713979262672812
93,목표가생겼다,MBC,"'김환희', '류수영', '김도훈'",1.2620795535714286
94,계약우정,KBS2,"'이신영', '신승호', '김소혜'",1.244357232142857
95,십시일반,MBC,"'김혜준', '오나라', '김정영'",1.23814625
96,너는나의봄,tvN,"'서현진', '김동욱', '윤박'",1.2143493303571429
97,본어게인,KBS2,"'장기용', '장기용', '진세연'",1.184120825892857
98,선배그립스틱바르지마요,JTBC,"'원진아', '로운', '이현욱'",1.1778028571428572
99,영혼수선공,KBS2,"'신하균', '정소민', '태인호'",1.1729737053571427
100,설강화:SNOWDROP,JTBC,"'정해인', '지수', '유인나'",1.1541458571428573
101,공작도시,JTBC,"'수애', '김강우', '김미숙'",1.1426753968253969
102,번외수사,OCN,"'차태현', '이선빈', '정상훈'",1.130758198757764
103,써치,OCN,"'장동윤', '정수정', '문정희'",1.0905784415584416
104,멜랑꼴리아,tvN,"'임수정', '이도현', '진경'",1.0751456696428572
105,미씽그들이있었다,OCN,"'고수', '허준호', '안소희'",1.0644997290640394
106,동백꽃필무렵,KBS2,"'공효진', '강하늘', '김지석'",1.062662261904762
107,더로드1의비극,tvN,"'지진희', '윤세아', '김혜은'",1.044053642857143
108,인간실격,JTBC,"'전도연', '류준열', '박병은'",1.035926607142857
109,날씨가좋으면찾아가겠어요,JTBC,"'박민영', '서강준', '문정희'",1.03268
110,오주인님,MBC,"'이민기', '나나', '강민혁'",1.0143268571428572
111,번외수사,tvN,"'차태현', '이선빈', '정상훈'",0.9724152380952381
112,우리사랑했을까,JTBC,"'송지효', '손호준', '송종호'",0.9552057589285714
113,반의반,tvN,"'정해인', '채수빈', '이하나'",0.9483393571428571
114,본대로말하라,OCN,"'장혁', '최수영', '진서연'",0.9457392142857143
115,사생활,JTBC,"'서현', '고경표', '김효진'",0.9172197321428571
116,오마이베이비,tvN,"'장나라', '고준', '박병은'",0.9083465238095237
117,멀리서보면푸른봄,KBS2,"'박지훈', '강민아', '배인혁'",0.9082072619047619
118,너를닮은사람,JTBC,"'고현정', '신현빈', '김재영'",0.9076828571428571
119,연애는귀찮지만외로운건싫어,MBC,"'지현우', '김소은', '박건일'",0.873071
120,학교2021,KBS2,"'김요한', '조이현', '추영우'",0.8655323626373626
121,구경이,JTBC,"'이영애', '김혜준', '김해숙'",0.8619306043956043
122,루갈,OCN,"'최진혁', '박성웅', '조동혁'",0.8210887557603687
123,이태원클라쓰,JTBC,"'박서준', '김다미', '유재명'",0.6362641964285715
124,다크홀,tvN,"'김옥빈', '이준혁', '임원희'",0.624777987012987
125,언더커버,JTBC,"'지진희', '김현주', '허준호'",0.6193221428571429
126,안녕드라큘라,JTBC,"'서현', '이지현', '이주빈'",0.6112996428571429
127,제발그남자만나지마요,MBC,"'송하윤', '윤보미', '공민정'",0.5801689285714285
128,부부의세계,JTBC,"'김희애', '박해준', '한소희'",0.5749682142857142
129,라이브온,JTBC,"'황민현', '정다빈', '노종현'",0.5666966071428572
130,경이로운소문,tvN,"'조병규', '유준상', '김세정'",0.538100119047619
131,트레인,OCN,"'윤시윤', '경수진', '신소율'",0.43004665714285717
132,허쉬,JTBC,"'황정민', '윤아', '손병호'",0.3901907142857142
133,야식남녀,JTBC,"'정일우', '강지영', '이학주'",0.3819519047619047
134,보이스시즌4,OCN,"'송승헌', '이하나', '이규형'",0.30556198979591837
135,다크홀,OCN,"'김옥빈', '이준혁', '임원희'",0.29962438423645316
136,IDOL,JTBC,"'안희연', '곽시양', '김민규'",0.2776619047619047
137,손THEGUEST,OCN,"'김동욱', '김재욱', '정은채'",0.2330442857142857
138,트랩,OCN,"'이서진', '성동일', '임화영'",0.1863614285714285
139,홈타운,OCN,"'유재명', '한예리', '엄태구'",0.1193778571428571
