,프로그램명,주차,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
133,고스트닥터,202151.0,109.67,440.0,83020.67,326.0,11.0,0.23,0.07,0.13,1.03,0.17,0.0,0.0,0.0,0.0
134,드라마스테이지2021,202111.0,109.36,962.91,296755.18,196.55,42.45,0.22,0.17,0.32,0.53,0.68,141496.18,117058.82,0.7,0.53
135,나의위험한아내,202043.0,107.18,258.64,62295.18,375.18,53.64,0.15,0.02,0.08,1.03,0.85,287676.45,98519.09,1.42,0.45
136,학교기담,202038.0,106.67,311.67,2927.67,57.67,11.67,0.17,0.07,0.0,0.17,0.2,198281.33,72055.33,0.97,0.33
137,크라임퍼즐,202145.0,105.71,301.0,163905.43,270.71,6.71,0.24,0.1,0.24,0.83,0.11,47199.57,35994.86,0.23,0.17
138,두번은없다,202005.5,105.0,481.2,106396.0,136.6,48.8,0.15,0.09,0.14,0.37,0.96,1847556.7,369789.4,9.25,1.74
139,미쓰리는알고있다,202026.5,104.33,171.33,26226.17,265.5,30.83,0.13,0.02,0.03,0.73,0.5,199186.83,122065.0,0.97,0.55
140,KBS드라마스페셜2020,202047.0,101.0,244.18,24274.45,375.55,22.55,0.14,0.04,0.02,0.88,0.34,228294.91,97927.73,1.11,0.45
141,연애는귀찮지만외로운건싫어,202036.0,82.69,385.15,40014.38,297.85,30.15,0.14,0.07,0.05,0.92,0.52,39677.38,27143.69,0.19,0.12
142,제발그남자만나지마요,202057.73,79.91,327.91,30641.27,274.45,25.73,0.11,0.06,0.03,0.65,0.42,59751.82,59661.91,0.31,0.28
143,이벤트를확인하세요,202132.0,68.86,305.71,23072.71,122.29,25.71,0.17,0.1,0.01,0.41,0.47,0.0,0.0,0.0,0.0
144,경로를이탈하였습니다,202109.5,58.25,327.25,42697.25,197.25,17.5,0.1,0.05,0.05,0.55,0.28,93772.25,61832.5,0.45,0.28
145,러브씬넘버#,202105.5,56.0,83.0,14520.5,450.0,25.5,0.1,0.0,0.0,1.05,0.45,397958.0,219077.0,1.95,0.95
146,목표가생겼다,202119.0,53.0,97.0,14944.0,328.6,22.6,0.14,0.0,0.02,1.04,0.34,216449.4,104978.2,1.08,0.48
147,드라마스테이지2020,202003.0,49.8,89.8,20837.6,92.0,38.0,0.08,0.0,0.02,0.26,0.76,150579.8,65104.2,0.76,0.3
148,아이를찾습니다,202110.5,48.75,182.75,17937.5,137.25,17.5,0.08,0.02,0.02,0.35,0.28,107056.25,66007.25,0.52,0.3
149,스폰서,202145.5,47.0,108.0,301.5,359.5,2.0,0.1,0.05,0.0,1.15,0.0,0.0,0.0,0.0,0.0
150,행복의진수,202021.0,43.0,102.0,23481.0,80.0,48.0,0.0,0.0,0.0,0.2,0.8,209822.0,156808.0,1.1,0.7
151,어쩌다가족,202070.14,34.59,139.64,6740.82,208.95,9.64,0.05,0.02,0.0,0.58,0.15,119855.45,44513.73,0.59,0.2
152,마녀식당으로오세요,202152.0,19.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,나의너에게,202115.5,13.0,34.0,1554.0,58.5,0.0,0.05,0.0,0.0,0.15,0.0,133795.0,61855.5,0.65,0.3
154,하트가빛나는순간,202143.5,9.12,1034.88,280725.94,16.81,0.06,0.01,0.29,0.39,0.04,0.0,15989.31,12845.88,0.08,0.05
